Number,Platform,Date,Passed Day,Meta Score,User Score
1,Nintendo 64,1998-11-23,8801,99.0,9.1
2,PlayStation,2000-09-20,8134,98.0,7.4
3,PlayStation 3,2008-04-29,5356,98.0,7.8
4,Dreamcast,1999-09-08,8512,98.0,8.4
5,Xbox 360,2008-04-29,5356,98.0,8.0
6,Wii,2007-11-12,5525,97.0,9.1
7,Wii,2010-05-23,4602,97.0,9.1
8,Xbox One,2018-10-26,1524,97.0,8.2
9,Xbox One,2014-11-18,2962,97.0,7.9
10,PlayStation 3,2013-09-17,3389,97.0,8.3
11,PC,2021-03-30,638,97.0,8.3
12,Xbox 360,2013-09-17,3389,97.0,8.3
13,Dreamcast,2000-11-06,8087,97.0,6.2
14,Switch,2017-03-03,2126,97.0,8.7
15,PlayStation 2,2001-10-28,7731,97.0,7.5
16,Nintendo 64,2000-05-22,8255,97.0,8.8
17,PlayStation 4,2018-10-26,1524,97.0,8.6
18,PlayStation 4,2014-11-18,2962,97.0,8.3
19,GameCube,2002-11-17,7346,97.0,8.9
20,PlayStation 2,2001-10-22,7737,97.0,8.4
21,Switch,2017-10-27,1888,97.0,8.9
22,Xbox,2001-11-14,7714,97.0,8.7
23,Dreamcast,2000-09-07,8147,97.0,6.3
24,PC,2004-11-16,6616,96.0,9.2
25,PC,2015-04-13,2816,96.0,7.8
26,Wii U,2017-03-03,2126,96.0,8.3
27,Xbox 360,2007-08-21,5608,96.0,9.0
28,Nintendo 64,1997-08-25,9256,96.0,9.0
29,PlayStation 3,2009-10-13,4824,96.0,8.8
30,GameCube,2005-01-11,6560,96.0,9.2
31,Xbox 360,2007-10-10,5558,96.0,8.9
32,PC,2007-10-10,5558,96.0,9.1
33,PlayStation 3,2011-10-18,4089,96.0,8.8
34,Switch,2022-06-28,183,96.0,8.0
35,PlayStation,1998-04-29,9009,96.0,9.1
36,Xbox Series X,2022-02-25,306,96.0,7.7
37,Xbox 360,2010-01-26,4719,96.0,8.9
38,Switch,2021-04-09,628,96.0,8.6
39,GameCube,2006-12-11,5861,96.0,8.9
40,PlayStation 5,2022-02-25,306,96.0,7.7
41,Xbox 360,2011-11-11,4065,96.0,8.6
42,PC,1998-11-19,8805,96.0,9.1
43,PlayStation 2,2005-10-25,6273,96.0,9.3
44,GameCube,2003-03-24,7219,96.0,9.0
45,PlayStation,1998-04-30,9008,96.0,8.6
46,PC,2007-08-21,5608,96.0,8.6
47,PlayStation 2,2001-11-12,7716,96.0,8.8
48,Xbox,2003-10-31,6998,96.0,8.1
49,PC,2000-09-24,8130,95.0,9.1
50,PlayStation 2,2004-10-26,6637,95.0,9.1
51,PlayStation 2,2002-10-27,7367,95.0,8.8
52,PlayStation 3,2008-10-27,5175,95.0,6.8
53,GameCube,2003-11-17,6981,95.0,8.9
54,PlayStation 3,2010-05-18,4607,95.0,8.9
55,PlayStation 2,2001-07-09,7842,95.0,8.4
56,Xbox,2004-11-09,6623,95.0,8.7
57,PC,2022-10-21,68,95.0,8.5
58,Game Boy Advance,2002-12-03,7330,95.0,9.0
59,Nintendo 64,2000-10-25,8099,95.0,9.1
60,PlayStation 3,2013-06-14,3484,95.0,9.2
61,Wii,2006-11-19,5883,95.0,9.0
62,PlayStation 2,2002-08-12,7443,95.0,7.6
63,Game Boy Advance,2001-05-30,7882,95.0,6.8
64,PlayStation 4,2020-03-31,1002,95.0,8.5
65,PlayStation 4,2014-07-29,3074,95.0,9.2
66,PC,2011-04-18,4272,95.0,9.1
67,Xbox 360,2010-05-18,4607,95.0,9.0
68,Xbox 360,2011-04-19,4271,95.0,8.8
69,Xbox One,2015-09-01,2675,95.0,7.6
70,PlayStation 3,2011-04-19,4271,95.0,8.7
71,Switch,2021-10-08,446,94.0,7.9
72,Wii,2008-10-13,5189,94.0,8.7
73,PlayStation 5,2022-12-14,14,94.0,7.6
74,PC,2011-11-10,4066,94.0,8.4
75,PlayStation 3,2013-03-26,3564,94.0,8.5
76,PlayStation,2000-11-13,8080,94.0,9.0
77,PlayStation 3,2009-11-10,4796,94.0,6.7
78,PlayStation 4,2018-04-20,1713,94.0,9.1
79,PlayStation 2,2002-10-23,7371,94.0,8.3
80,PlayStation 2,2001-10-16,7743,94.0,8.6
81,PlayStation 3,2007-11-05,5532,94.0,8.4
82,PlayStation 2,2001-08-19,7801,94.0,7.3
83,Xbox 360,2011-10-18,4089,94.0,8.8
84,Xbox Series X,2022-10-21,68,94.0,8.3
85,PC,2010-01-26,4719,94.0,8.9
86,3DS,2011-06-19,4210,94.0,9.0
87,PlayStation,2000-08-15,8170,94.0,8.8
88,Xbox One,2018-01-26,1797,94.0,7.7
89,PlayStation 3,2008-10-21,5181,94.0,9.0
90,PlayStation 3,2011-01-17,4363,94.0,8.7
91,PC,2003-05-12,7170,94.0,8.7
92,PlayStation 2,2003-08-12,7078,94.0,8.2
93,Xbox 360,2006-11-07,5895,94.0,8.4
94,Xbox 360,2006-03-20,6127,94.0,8.8
95,Switch,2022-10-21,68,94.0,8.3
96,PC,1996-02-29,9799,94.0,8.8
97,PC,1996-06-22,9685,94.0,8.7
98,Xbox 360,2007-11-05,5532,94.0,8.5
99,PC,2013-03-25,3565,94.0,8.6
100,Xbox 360,2007-09-25,5573,94.0,8.2
101,Xbox,2005-09-20,6308,94.0,8.7
102,PC,2006-03-20,6127,94.0,8.3
103,PC,2022-02-25,306,94.0,6.9
104,PlayStation 3,2009-02-17,5062,94.0,7.4
105,Game Boy Advance,2003-10-21,7008,94.0,8.9
106,Dreamcast,2000-10-30,8094,94.0,8.3
107,PlayStation,1998-10-21,8834,94.0,8.3
108,PC,1998-10-14,8841,94.0,9.0
109,Xbox,2005-03-28,6484,94.0,9.1
110,Dreamcast,2000-02-29,8338,94.0,9.4
111,Xbox,2004-09-07,6686,94.0,7.7
112,PC,1996-12-31,9493,94.0,8.6
113,PlayStation 5,2022-11-09,49,94.0,7.9
114,PlayStation 2,2006-03-14,6133,94.0,8.0
115,Xbox 360,2009-11-10,4796,94.0,6.6
116,PlayStation 3,2008-06-12,5312,94.0,8.8
117,PlayStation 2,2003-07-16,7105,94.0,8.3
118,PlayStation 2,2005-03-22,6490,94.0,8.9
119,Xbox,2003-07-17,7104,94.0,9.1
120,PC,2005-10-25,6273,94.0,8.2
121,GameCube,2003-08-12,7078,94.0,7.0
122,PlayStation 2,2002-03-17,7591,94.0,8.1
123,Nintendo 64,1996-09-26,9589,94.0,9.1
124,PC,2015-05-18,2781,93.0,9.1
125,PC,2022-12-06,22,93.0,8.5
126,PlayStation 2,2004-09-07,6686,93.0,9.0
127,Wii,2008-03-09,5407,93.0,8.8
128,PC,2006-09-13,5950,93.0,8.7
129,PlayStation,1999-11-30,8429,93.0,9.0
130,PlayStation 4,2020-06-19,922,93.0,5.7
131,Xbox Series X,2021-08-13,502,93.0,8.6
132,Xbox,2004-03-23,6854,93.0,8.6
133,DS,2009-03-17,5034,93.0,8.3
134,Xbox 360,2010-11-17,4424,93.0,7.6
135,PlayStation,1999-04-30,8643,93.0,8.5
136,Switch,2020-09-17,832,93.0,9.0
137,Xbox,2002-03-04,7604,93.0,7.2
138,PC,2020-03-23,1010,93.0,9.2
139,Switch,2019-09-04,1211,93.0,8.4
140,PC,2017-09-14,1931,93.0,8.8
141,PC,2004-03-16,6861,93.0,8.8
142,Xbox 360,2013-03-26,3564,93.0,8.5
143,Switch,2020-09-17,832,93.0,8.7
144,Xbox 360,2008-08-06,5257,93.0,8.5
145,PlayStation 2,2007-03-13,5769,93.0,9.0
146,Wii U,2013-11-22,3323,93.0,8.9
147,PC,2010-07-27,4537,93.0,8.3
148,PlayStation 2,2000-10-30,8094,93.0,8.1
149,Xbox 360,2009-02-17,5062,93.0,7.3
150,PC,2011-11-18,4058,93.0,8.1
151,Xbox Series X,2022-04-27,245,93.0,8.6
152,PlayStation 5,2021-08-13,502,93.0,8.6
153,Switch,2018-09-18,1562,93.0,8.2
154,PlayStation Vita,2012-11-20,3690,93.0,8.6
155,PlayStation 4,2017-04-04,2094,93.0,8.7
156,PC,2019-11-05,1149,93.0,6.6
157,PlayStation 2,2003-10-20,7009,93.0,8.8
158,Xbox,2002-11-17,7346,93.0,8.6
159,PC,2002-05-20,7527,93.0,8.1
160,Dreamcast,2000-10-22,8102,93.0,8.4
161,PC,1999-08-31,8520,93.0,8.8
162,PlayStation 2,2006-09-19,5944,93.0,9.1
163,PlayStation 3,2007-03-20,5762,93.0,8.7
164,Xbox 360,2008-10-28,5174,93.0,8.5
165,Xbox 360,2008-11-07,5164,93.0,7.9
166,PC,2022-01-14,348,93.0,8.5
167,GameCube,2003-08-27,7063,93.0,8.9
168,PlayStation 2,2003-03-11,7232,93.0,8.4
169,PlayStation 2,2002-08-12,7443,93.0,7.2
170,Xbox 360,2012-03-06,3949,93.0,6.0
171,PlayStation 4,2015-09-01,2675,93.0,8.2
172,Dreamcast,2000-11-13,8080,93.0,8.8
173,Wii,2011-11-20,4056,93.0,8.1
174,Game Boy Advance,2001-08-26,7794,93.0,7.7
175,PC,2019-05-21,1317,93.0,8.5
176,Xbox 360,2010-10-26,4446,93.0,8.0
177,GameCube,2003-10-07,7022,93.0,8.3
178,Dreamcast,2000-11-13,8080,93.0,8.3
179,Dreamcast,2000-11-01,8092,93.0,7.2
180,PC,2020-09-17,832,93.0,8.8
181,PlayStation,1997-10-02,9218,93.0,9.0
182,PC,2003-11-18,6980,93.0,9.0
183,PlayStation 2,2003-08-13,7077,93.0,8.7
184,PlayStation 4,2016-05-10,2423,93.0,8.8
185,Switch,2018-12-07,1482,93.0,8.6
186,PlayStation 3,2009-11-12,4794,93.0,7.8
187,PlayStation 3,2012-03-05,3950,93.0,5.8
188,Nintendo 64,2001-02-05,7996,93.0,9.0
189,PlayStation,1996-09-30,9585,93.0,8.6
190,Xbox,2005-06-07,6413,93.0,8.5
191,Xbox One,2019-01-25,1433,93.0,8.8
192,Xbox One,2016-06-29,2373,93.0,8.4
193,PC,2004-11-23,6609,93.0,7.4
194,PC,2005-06-07,6413,93.0,8.9
195,DS,2009-08-12,4886,93.0,7.7
196,PlayStation 2,2004-02-17,6889,93.0,8.4
197,Dreamcast,2001-10-24,7735,93.0,7.4
198,PlayStation 2,2003-08-27,7063,92.0,8.7
199,PlayStation 3,2011-11-11,4065,92.0,6.7
200,Xbox,2003-11-12,6986,92.0,8.0
201,PC,2007-11-05,5532,92.0,8.5
202,Xbox One,2018-09-28,1552,92.0,8.3
203,PlayStation 3,2010-03-16,4670,92.0,8.9
204,Xbox One,2018-08-31,1580,92.0,7.6
205,GameCube,2002-08-21,7434,92.0,6.5
206,PlayStation 2,2001-11-05,7723,92.0,8.9
207,PlayStation 2,2001-09-24,7765,92.0,8.2
208,Xbox 360,2007-04-03,5748,92.0,8.1
209,PlayStation 2,2003-11-06,6992,92.0,8.8
210,PlayStation 3,2011-11-01,4075,92.0,8.4
211,Xbox 360,2007-11-20,5517,92.0,8.0
212,PlayStation 4,2015-07-21,2717,92.0,8.3
213,PlayStation 4,2015-03-24,2836,92.0,8.9
214,GameCube,2002-06-23,7493,92.0,8.8
215,PC,2002-07-03,7483,92.0,9.2
216,GameCube,2003-10-20,7009,92.0,8.7
217,PC,2000-02-04,8363,92.0,7.9
218,Nintendo 64,1998-05-31,8977,92.0,9.1
219,PC,1997-09-30,9220,92.0,7.4
220,Switch,2018-01-25,1798,92.0,8.6
221,Wii,2008-12-18,5123,92.0,7.1
222,Xbox,2005-05-03,6448,92.0,7.7
223,Xbox,2003-08-12,7078,92.0,7.6
224,PlayStation 3,2010-04-27,4628,92.0,7.8
225,Xbox Series X,2021-11-05,418,92.0,8.2
226,PC,2022-12-08,20,92.0,8.6
227,PC,2004-04-09,6837,92.0,7.0
228,Game Boy Advance,2001-09-09,7780,92.0,8.8
229,PlayStation,2000-05-15,8262,92.0,9.0
230,Xbox One,2017-07-19,1988,92.0,7.9
231,PC,2007-10-10,5558,92.0,9.0
232,PC,1999-08-11,8540,92.0,9.1
233,PC,2005-03-28,6484,92.0,8.7
234,PlayStation 2,2006-10-31,5902,92.0,7.6
235,PlayStation 4,2017-08-15,1961,92.0,7.2
236,GameCube,2002-08-12,7443,92.0,7.2
237,PlayStation 4,2015-05-19,2780,92.0,9.2
238,Game Boy Advance,2002-02-09,7627,92.0,9.0
239,Xbox,2004-07-20,6735,92.0,8.1
240,GameCube,2001-12-02,7696,92.0,9.0
241,Xbox,2002-08-12,7443,92.0,7.1
242,Dreamcast,2000-06-08,8238,92.0,8.4
243,PC,2004-09-22,6671,92.0,9.0
244,Xbox 360,2009-10-27,4810,92.0,8.1
245,PlayStation 5,2020-11-11,777,92.0,8.0
246,PC,2017-12-12,1842,92.0,7.8
247,PC,2015-09-15,2661,92.0,8.5
248,Xbox 360,2009-08-25,4873,92.0,8.8
249,GameCube,2002-08-25,7430,92.0,8.4
250,Xbox,2003-10-20,7009,92.0,8.2
251,Xbox,2003-08-27,7063,92.0,8.8
252,PlayStation,1999-08-31,8520,92.0,8.7
253,PC,1998-11-30,8794,92.0,8.9
254,3DS,2013-02-04,3614,92.0,9.0
255,Xbox One,2022-06-30,181,92.0,8.3
256,PC,1999-09-30,8490,92.0,9.0
257,PlayStation 2,2001-12-17,7681,92.0,8.9
258,GameCube,2003-11-18,6980,92.0,8.1
259,Xbox 360,2012-04-27,3897,92.0,8.6
260,PC,1999-11-30,8429,92.0,9.0
261,PC,1999-02-12,8720,92.0,8.7
262,Nintendo 64,1996-11-01,9553,92.0,8.3
263,PlayStation 4,2018-08-31,1580,92.0,8.0
264,PC,2008-04-30,5355,92.0,8.3
265,Wii U,2014-11-21,2959,92.0,8.9
266,PlayStation 2,2006-11-07,5895,92.0,8.4
267,PlayStation,1997-09-03,9247,92.0,8.9
268,PlayStation 3,2007-11-20,5517,92.0,8.1
269,DS,2008-11-25,5146,92.0,9.1
270,Switch,2018-02-16,1776,92.0,8.6
271,PC,2021-12-07,386,92.0,9.0
272,PlayStation 3,2012-03-13,3942,92.0,8.8
273,Wii,2012-04-06,3918,92.0,9.1
274,Nintendo 64,2001-03-04,7969,92.0,9.0
275,PlayStation,1999-10-31,8459,92.0,8.9
276,PlayStation,1997-10-31,9189,92.0,7.6
277,Xbox 360,2008-09-14,5218,92.0,8.2
278,Switch,2017-04-28,2070,92.0,8.6
279,PlayStation 3,2011-09-27,4110,92.0,8.6
280,Wii,2011-11-15,4061,92.0,8.5
281,GameCube,2004-11-15,6617,92.0,8.8
282,PC,2016-03-22,2472,92.0,3.3
283,Game Boy Advance,2002-11-17,7346,92.0,9.0
284,PC,2016-05-30,2403,92.0,9.2
285,Game Boy Advance,2007-02-05,5805,92.0,8.7
286,Wii U,2013-09-03,3403,92.0,8.7
287,Xbox One,2020-12-04,754,92.0,8.5
288,PC,2002-11-05,7358,92.0,5.0
289,Xbox,2004-08-09,6715,91.0,7.3
290,Xbox 360,2010-04-27,4628,91.0,7.7
291,PlayStation 3,2010-11-23,4418,91.0,7.8
292,PlayStation 3,2008-10-19,5183,91.0,8.0
293,Xbox 360,2014-03-11,3214,91.0,7.9
294,PC,2012-10-08,3733,91.0,8.5
295,PlayStation 2,2003-09-03,7056,91.0,8.5
296,PC,2002-01-20,7647,91.0,8.6
297,PC,1997-10-31,9189,91.0,8.5
298,PlayStation 3,2011-01-18,4362,91.0,8.6
299,Switch,2018-06-28,1644,91.0,8.5
300,PC,2020-08-18,862,91.0,7.1
301,PlayStation 2,2005-11-07,6260,91.0,8.5
302,PC,2008-11-13,5158,91.0,7.7
303,Wii,2010-10-26,4446,91.0,6.8
304,Wii,2009-08-24,4874,91.0,9.0
305,PC,2016-05-23,2410,91.0,6.4
306,PC,2003-06-24,7127,91.0,7.7
307,GameCube,2002-10-23,7371,91.0,8.2
308,PlayStation 2,2000-10-23,8101,91.0,7.5
309,PC,1998-12-21,8773,91.0,8.9
310,Wii U,2014-09-20,3021,91.0,8.9
311,Xbox One,2015-05-19,2780,91.0,9.1
312,PlayStation 3,2010-10-26,4446,91.0,8.1
313,PlayStation 2,2001-07-25,7826,91.0,8.6
314,PC,2001-11-18,7710,91.0,8.6
315,Nintendo 64,2000-08-28,8157,91.0,8.6
316,PC,1999-09-30,8490,91.0,8.7
317,PlayStation,1997-10-31,9189,91.0,8.3
318,PC,2015-09-01,2675,91.0,7.9
319,PlayStation 2,2004-11-03,6629,91.0,9.0
320,GameCube,2002-04-30,7547,91.0,9.6
321,PlayStation 3,2009-10-20,4817,91.0,7.5
322,PlayStation 3,2009-11-17,4789,91.0,8.7
323,PlayStation 2,2004-11-17,6615,91.0,8.0
324,Switch,2019-09-27,1188,91.0,8.6
325,PlayStation 2,2001-06-18,7863,91.0,8.4
326,PlayStation,2000-10-23,8101,91.0,8.9
327,PlayStation,1996-11-15,9539,91.0,8.4
328,Xbox One,2016-05-23,2410,91.0,5.9
329,Xbox One,2019-03-22,1377,91.0,9.0
330,Wii,2007-06-19,5671,91.0,8.9
331,PlayStation 2,2005-10-18,6280,91.0,9.1
332,Xbox One,2016-09-23,2287,91.0,8.1
333,PlayStation 3,2009-11-19,4787,91.0,7.4
334,GameCube,2003-02-28,7243,91.0,8.9
335,PlayStation 3,2012-09-18,3753,91.0,8.3
336,Switch,2018-07-17,1625,91.0,8.2
337,PC,2003-02-19,7252,91.0,8.5
338,PC,2021-11-09,414,91.0,6.7
339,Xbox One,2018-08-07,1604,91.0,8.1
340,PC,2014-05-06,3158,91.0,6.7
341,PlayStation 2,2002-07-20,7466,91.0,8.3
342,PC,2007-11-13,5524,91.0,8.1
343,Xbox,2004-03-02,6875,91.0,8.8
344,PSP,2008-03-04,5412,91.0,8.6
345,PlayStation 4,2019-07-02,1275,91.0,8.4
346,PlayStation 2,2000-10-25,8099,91.0,8.0
347,PC,2007-01-16,5825,91.0,6.0
348,PlayStation 3,2010-03-02,4684,91.0,7.8
349,PlayStation 4,2018-02-06,1786,91.0,7.8
350,Game Boy Advance,2002-09-24,7400,91.0,8.8
351,PlayStation 4,2016-05-30,2403,91.0,9.2
352,PC,2004-09-20,6673,91.0,4.0
353,Xbox,2003-09-03,7056,91.0,7.8
354,GameCube,2002-07-20,7466,91.0,6.0
355,PC,2000-11-16,8077,91.0,8.7
356,PC,2000-10-25,8099,91.0,8.4
357,PC,1997-10-09,9211,91.0,8.6
358,PC,2009-09-15,4852,91.0,8.6
359,Xbox 360,2010-09-14,4488,91.0,8.4
360,PC,2007-02-14,5796,91.0,7.9
361,Xbox 360,2007-11-20,5517,91.0,8.7
362,PC,2000-11-11,8082,91.0,8.7
363,PlayStation,1999-11-11,8448,91.0,9.6
364,Xbox 360,2011-10-11,4096,91.0,8.3
365,PlayStation,1996-03-30,9769,91.0,9.5
366,PC,2020-09-01,848,91.0,8.3
367,Xbox One,2021-08-25,490,91.0,6.3
368,PC,2005-06-21,6399,91.0,8.4
369,PlayStation 3,2009-11-17,4789,91.0,8.7
370,PlayStation 5,2022-10-21,68,91.0,7.5
371,PlayStation 4,2018-01-25,1798,91.0,7.7
372,PlayStation 2,2004-08-09,6715,91.0,8.0
373,GameCube,2001-11-13,7715,91.0,8.1
374,PC,2009-07-01,4928,91.0,7.8
375,PC,2008-10-28,5174,91.0,7.9
376,PC,2011-11-21,4055,91.0,8.7
377,PC,2013-05-01,3528,91.0,6.7
378,PC,1999-12-14,8415,91.0,9.2
379,Xbox 360,2011-09-20,4117,91.0,8.1
380,PlayStation 3,2009-02-27,5052,91.0,8.1
381,PC,2002-06-16,7500,91.0,8.2
382,PlayStation 3,2009-08-25,4873,91.0,8.8
383,Game Boy Advance,2003-05-06,7176,91.0,8.8
384,PC,2002-09-30,7394,91.0,8.7
385,PlayStation 4,2016-08-23,2318,91.0,8.5
386,PlayStation,1999-08-16,8535,91.0,9.0
387,PC,2009-11-03,4803,91.0,8.8
388,Game Boy Advance,2001-11-11,7717,91.0,9.0
389,PlayStation 3,2013-09-03,3403,91.0,8.6
390,Xbox One,2020-07-10,901,91.0,7.3
391,PC,2012-10-16,3725,91.0,8.0
392,PC,2019-10-15,1170,91.0,8.4
393,PlayStation 2,2005-02-01,6539,91.0,8.3
394,Switch,2017-12-28,1826,91.0,8.2
395,3DS,2013-11-22,3323,91.0,9.0
396,PlayStation 4,2019-02-26,1401,91.0,8.9
397,PC,2014-04-25,3169,91.0,7.2
398,Game Boy Advance,2001-06-10,7871,91.0,8.1
399,PlayStation 4,2019-01-25,1433,91.0,9.0
400,PC,2020-09-29,820,91.0,6.8
401,Xbox 360,2012-12-04,3676,91.0,8.6
402,PlayStation 3,2014-03-11,3214,91.0,8.2
403,Switch,2017-03-03,2126,91.0,8.2
404,PlayStation 4,2020-12-04,754,91.0,8.1
405,PlayStation 4,2013-11-15,3330,91.0,7.3
406,DS,2005-11-14,6253,91.0,8.7
407,PC,2003-10-29,7000,91.0,8.4
408,PC,2003-08-12,7078,91.0,7.1
409,Nintendo 64,1999-06-30,8582,91.0,7.7
410,PlayStation,1998-10-31,8824,91.0,9.0
411,Xbox 360,2009-11-17,4789,90.0,8.8
412,Xbox,2003-11-17,6981,90.0,8.7
413,PlayStation 3,2011-10-04,4103,90.0,6.8
414,Switch,2020-03-20,1013,90.0,5.6
415,PC,2004-09-14,6679,90.0,8.7
416,PC,2019-07-02,1275,90.0,9.0
417,PC,2010-12-07,4404,90.0,5.7
418,Xbox,2005-11-15,6252,90.0,8.5
419,Xbox,2002-07-20,7466,90.0,7.3
420,Nintendo 64,1999-10-31,8459,90.0,8.7
421,Xbox 360,2010-01-05,4740,90.0,8.1
422,PlayStation 4,2014-08-19,3053,90.0,7.8
423,PlayStation 4,2016-05-23,2410,90.0,6.4
424,PlayStation 3,2012-12-04,3676,90.0,8.6
425,PlayStation 2,2001-09-24,7765,90.0,8.8
426,Xbox 360,2006-03-09,6138,90.0,7.9
427,PlayStation 3,2011-09-27,4110,90.0,7.2
428,PC,2008-10-12,5190,90.0,8.4
429,Game Boy Advance,2003-11-17,6981,90.0,8.9
430,PlayStation 4,2015-04-21,2808,90.0,7.7
431,Xbox Series X,2022-04-28,244,90.0,8.0
432,PlayStation 2,2003-10-27,7002,90.0,8.7
433,Dreamcast,2000-06-29,8217,90.0,8.8
434,PlayStation,1999-05-31,8612,90.0,8.5
435,PlayStation,1999-01-31,8732,90.0,8.6
436,DS,2009-09-14,4853,90.0,8.8
437,Xbox 360,2012-04-18,3906,90.0,8.0
438,Xbox 360,2009-02-17,5062,90.0,8.0
439,Xbox 360,2011-09-27,4110,90.0,6.8
440,Xbox One,2019-09-06,1209,90.0,8.1
441,PC,2020-08-14,866,90.0,8.2
442,PC,2013-08-08,3429,90.0,7.4
443,Xbox 360,2009-10-20,4817,90.0,7.4
444,PlayStation 2,2003-11-11,6987,90.0,9.0
445,PlayStation 2,2003-04-28,7184,90.0,8.7
446,Dreamcast,2001-10-24,7735,90.0,8.0
447,PC,2001-03-26,7947,90.0,7.8
448,PlayStation 3,2008-10-28,5174,90.0,8.2
449,Wii U,2013-09-20,3386,90.0,9.0
450,Switch,2019-09-27,1188,90.0,8.5
451,PlayStation 2,2004-07-20,6735,90.0,8.6
452,PC,2007-10-10,5558,90.0,9.2
453,PC,2019-07-23,1254,90.0,6.7
454,DS,2007-10-01,5567,90.0,7.9
455,PlayStation 2,2004-03-09,6868,90.0,8.5
456,Game Boy Advance,2002-03-04,7604,90.0,6.2
457,PlayStation,2001-05-09,7903,90.0,8.4
458,PC,2000-09-28,8126,90.0,6.6
459,DS,2005-08-22,6337,90.0,8.8
460,PlayStation 4,2014-02-18,3235,90.0,8.3
461,PlayStation 3,2011-03-08,4313,90.0,8.0
462,Xbox One,2018-06-26,1646,90.0,9.1
463,PlayStation 2,2001-12-03,7695,90.0,8.9
464,GameCube,2001-11-09,7719,90.0,8.6
465,Xbox Series X,2021-07-27,519,90.0,7.9
466,Switch,2018-09-13,1567,90.0,7.6
467,Xbox One,2018-01-26,1797,90.0,7.2
468,PC,2016-04-18,2445,90.0,5.5
469,PlayStation Vita,2014-09-02,3039,90.0,7.2
470,PlayStation 2,2005-09-13,6315,90.0,8.9
471,PC,2002-03-28,7580,90.0,8.3
472,GameCube,2002-03-20,7588,90.0,6.0
473,PlayStation 2,2001-07-23,7828,90.0,8.4
474,Dreamcast,2001-03-13,7960,90.0,8.5
475,PC,2000-06-23,8223,90.0,9.2
476,Nintendo 64,1999-10-31,8459,90.0,8.6
477,Xbox,2003-01-12,7290,90.0,8.4
478,Xbox 360,2008-10-22,5180,90.0,8.6
479,PC,2007-10-10,5558,90.0,9.2
480,PlayStation 4,2014-03-25,3200,90.0,6.4
481,PC,2009-04-10,5010,90.0,8.6
482,PC,2004-12-08,6594,90.0,8.6
483,PlayStation 2,2008-12-08,5133,90.0,7.8
484,Switch,2018-06-12,1660,90.0,9.0
485,PlayStation 3,2009-03-03,5048,90.0,8.1
486,Nintendo 64,1997-02-28,9434,90.0,8.3
487,3DS,2014-06-26,3107,90.0,8.3
488,Xbox One,2020-03-11,1022,90.0,8.9
489,Xbox,2004-03-09,6868,90.0,7.8
490,Xbox,2002-10-23,7371,90.0,7.7
491,PC,2001-10-30,7729,90.0,8.3
492,Dreamcast,2001-09-19,7770,90.0,7.2
493,PlayStation,2000-11-21,8072,90.0,8.4
494,Xbox 360,2010-07-21,4543,90.0,8.4
495,Xbox 360,2012-09-07,3764,90.0,7.4
496,PC,2005-03-15,6497,90.0,7.8
497,PC,2017-04-11,2087,90.0,8.2
498,PlayStation 3,2010-11-16,4425,90.0,8.3
499,Wii,2008-04-15,5370,90.0,8.8
500,Xbox 360,2010-10-20,4452,90.0,7.9
501,PSP,2009-10-20,4817,90.0,7.4
502,Xbox 360,2011-01-25,4355,90.0,8.7
503,GameCube,2004-08-30,6694,90.0,9.0
504,PlayStation 3,2012-10-30,3711,90.0,8.9
505,Xbox One,2016-09-16,2294,90.0,5.9
506,Xbox,2001-10-29,7730,90.0,7.6
507,Dreamcast,2000-12-06,8057,90.0,8.5
508,Xbox 360,2008-07-30,5264,90.0,8.2
509,PC,2010-09-21,4481,90.0,8.0
510,3DS,2011-11-13,4063,90.0,8.4
511,Wii U,2015-04-23,2806,90.0,8.8
512,PC,2005-06-28,6392,90.0,7.7
513,PC,2022-04-27,245,90.0,8.2
514,PC,2011-08-23,4145,90.0,8.5
515,Xbox 360,2012-10-09,3732,90.0,8.3
516,Wii,2007-08-27,5602,90.0,8.8
517,PlayStation 4,2018-01-26,1797,90.0,7.7
518,PC,2001-10-19,7740,90.0,7.3
519,Nintendo 64,2000-11-19,8074,90.0,8.8
520,PC,2013-09-03,3403,90.0,8.5
521,PC,2022-06-16,195,90.0,8.3
522,PC,2013-07-09,3459,90.0,6.5
523,Xbox,2005-02-02,6538,90.0,7.7
524,PlayStation 2,2002-10-09,7385,90.0,8.7
525,PC,2012-08-28,3774,90.0,8.0
526,Xbox 360,2007-05-29,5692,90.0,8.3
527,PlayStation 4,2015-10-20,2626,90.0,7.9
528,3DS,2011-12-08,4038,90.0,8.3
529,PlayStation 4,2015-10-12,2634,90.0,9.0
530,Xbox 360,2011-11-08,4068,90.0,8.5
531,PlayStation 2,2004-08-24,6700,90.0,8.3
532,GameCube,2004-08-09,6715,90.0,5.6
533,GameCube,2002-10-27,7367,90.0,6.7
534,PC,2002-03-24,7584,90.0,7.8
535,Xbox,2002-02-27,7609,90.0,7.6
536,PlayStation,2000-12-05,8058,90.0,8.4
537,Xbox 360,2012-09-25,3746,90.0,6.3
538,PlayStation 5,2021-03-26,642,90.0,7.2
539,PC,2018-02-27,1765,90.0,7.8
540,PC,2021-06-10,566,90.0,7.5
541,PlayStation 3,2011-07-19,4180,90.0,8.0
542,PC,2006-09-29,5934,90.0,8.6
543,PlayStation 4,2019-03-22,1377,90.0,8.5
